name,label,is_custom,sharing_model,description,field_count,record_type_count,validation_rule_count,workflow_rule_count
manifest-1,manifest-1,False,,,0,0,0,0
sf-package-full,sf-package-full,False,,,0,0,0,0
package,package,False,,,0,0,0,0
Entitlement,Entitlement,False,ControlledByParent,,8,0,0,0
CalculationProcedureStep,CalculationProcedureStep,False,ControlledByParent,,4,0,0,0
SocialPost,SocialPost,False,ReadWrite,,11,0,0,0
CaseRelatedIssue,CaseRelatedIssue,False,ControlledByParent,,3,0,0,0
FlowOrchestrationLog,FlowOrchestrationLog,False,ControlledByParent,,1,0,0,0
FlowOrchestrationStageInstance,FlowOrchestrationStageInstance,False,Private,,1,0,0,0
Macro,Macro,False,Private,,1,0,0,0
WorkBadge,WorkBadge,False,ControlledByParent,,4,0,0,0
MLModel,MLModel,False,ReadWrite,,0,0,0,0
CollaborationGroup,CollaborationGroup,False,,,0,0,0,0
In_App_Checklist_Settings__c,In App Checklist Settings,True,,This custom settings contains all attributes used in In App Checklist,2,0,0,0
UserCapabilityPreference,UserCapabilityPreference,False,Private,,0,0,0,0
MLModelFactorComponent,MLModelFactorComponent,False,ControlledByParent,,0,0,0,0
ExpressionFilterCriteria,ExpressionFilterCriteria,False,ControlledByParent,,0,0,0,0
ProfileSkill,ProfileSkill,False,ReadWrite,,0,0,0,0
ProblemIncident,ProblemIncident,False,ControlledByParent,,3,0,0,0
ScorecardAssociation,ScorecardAssociation,False,ControlledByParent,,2,0,0,0
UserTerritory2Association,UserTerritory2Association,False,,,1,0,0,0
ExpressionSet,ExpressionSet,False,Private,,1,0,0,0
Address,Address,False,ControlledByParent,,3,0,0,0
FlowOrchestrationWorkItem,FlowOrchestrationWorkItem,False,Private,,4,0,0,0
ContractLineItem,ContractLineItem,False,ControlledByParent,,13,0,0,0
MacroInstruction,MacroInstruction,False,ControlledByParent,,0,0,0,0
ActionPlan,ActionPlan,False,Private,,4,0,0,0
Idea,Idea,False,ControlledByParent,,2,1,0,0
ServiceContract,ServiceContract,False,Private,,7,0,0,0
FeedItem,FeedItem,False,,,0,0,0,0
Problem,Problem,False,Private,,9,0,0,0
WorkThanks,WorkThanks,False,Read,,3,0,0,0
VideoCallRecording,VideoCallRecording,False,ControlledByParent,,0,0,0,0
CampaignInfluence,CampaignInfluence,False,,,0,0,0,0
ActionPlnTmplItmDependency,ActionPlnTmplItmDependency,False,ControlledByParent,,0,0,0,0
MacroUsage,MacroUsage,False,Private,,0,0,0,0
Image,Image,False,Private,,1,0,0,0
ContractContactRole,ContractContactRole,False,,,1,0,0,0
EmailMessage,EmailMessage,False,,,2,0,0,0
RecordMergeHistory,RecordMergeHistory,False,Private,,0,0,0,0
CalcProcStepRelationship,CalcProcStepRelationship,False,ControlledByParent,,2,0,0,0
StreamActivityAccess,StreamActivityAccess,False,Private,,2,0,0,0
ProfileSkillUser,ProfileSkillUser,False,ControlledByParent,,2,0,0,0
ChatterActivity,ChatterActivity,False,,,0,0,0,0
AccountContactRelation,AccountContactRelation,False,,,4,0,0,0
QuickTextUsage,QuickTextUsage,False,Private,,0,0,0,0
OpportunityLineItem,OpportunityLineItem,False,,,16,0,0,0
QuoteLineItem,QuoteLineItem,False,ControlledByParent,,17,0,0,0
SocialPersona,SocialPersona,False,ControlledByParent,,1,0,0,0
Task,Task,False,Private,,7,1,0,0
TopicAssignment,TopicAssignment,False,,,0,0,0,0
AnalyticsUserAttrFuncTkn,AnalyticsUserAttrFuncTkn,False,Read,,0,0,0,0
ProblemRelatedItem,ProblemRelatedItem,False,ControlledByParent,,4,0,0,0
CaseMilestone,CaseMilestone,False,,,4,0,0,0
WorkOrderLineItem,WorkOrderLineItem,False,ControlledByParent,,9,0,0,0
DuplicateRecordSet,DuplicateRecordSet,False,ReadWrite,,1,0,0,0
Legal_Entity__c,Legal Entity,True,ReadWrite,Official legal name of the business entity as registered with government authorities,7,0,0,0
Campaign,Campaign,False,FullAccess,,5,0,0,0
EngagementInterface,EngagementInterface,False,ReadWrite,,0,0,0,0
ApprovalWorkItem,ApprovalWorkItem,False,ControlledByParent,,5,0,0,0
PromptError,PromptError,False,Private,,0,0,0,0
OpportunityCompetitor,OpportunityCompetitor,False,,,1,0,0,0
PartnerRole,PartnerRole,False,,,1,0,0,0
CalculationProcedureVersion,CalculationProcedureVersion,False,ControlledByParent,,1,0,0,0
WorkStepTemplate,WorkStepTemplate,False,Private,,1,0,0,0
ForecastingOwnerAdjustment,ForecastingOwnerAdjustment,False,ReadWrite,,2,0,0,0
Site,Site,False,,,0,0,0,0
RecordActnSelItemExtrc,RecordActnSelItemExtrc,False,Private,,0,0,0,0
Territory2,Territory2,False,,,4,0,0,0
CalculationProcedure,CalculationProcedure,False,Private,,1,0,0,0
AccountContactRole,AccountContactRole,False,ControlledByParent,,1,0,0,0
Contract,Contract,False,ReadWrite,,8,0,0,0
CampaignMember,CampaignMember,False,ControlledByCampaign,,6,0,0,0
ApprovalSubmission,ApprovalSubmission,False,Private,,4,0,0,0
